Company,Website,Industry,Product/Service Category,Business Type,Employees Count,Revenue,Year Founded,BBB Rating,City,State,Company Phone,Company LinkedIn,Owner's First Name,Owner's Last Name,Owner's Title,Owner's LinkedIn,Owner's Phone Number,Owner's Email,Source,Lead Score
Foster-Sullivan,https://hubbard.com/,Retail,CRM,B2B,498,$10M-$50M,2014,NR,West Chelsea,TN,939.556.7931x0154,http://www.rogers-carter.net/,Shawn,Hawkins,"Research officer, political party",http://www.cross.com/,001-232-600-0530x8580,osanders@cabrera.com,manual,45
King-White,https://www.good.org/,Education,Custom Software,B2B,232,$50M+,2017,NR,North Isaacborough,PA,001-359-330-7091x39307,https://www.chavez.com/,Shannon,Estrada,"Psychotherapist, dance movement",http://koch.com/,620.381.3846x9284,,scraped,25
"Davis, Rodriguez and Bell",https://stanton.com/,Healthcare,EHR Systems,B2C,961,$1M-$10M,1994,C,Baxterton,DC,(615)569-9961x4146,https://cobb-king.net/,Dale,Wright,"Engineer, broadcasting (operations)",http://williams.biz/,(042)448-2267x6823,elizabeth43@rose.com,scraped,30
King-Sanchez,http://www.griffin.net/,Finance,EHR Systems,B2C,577,$1M-$10M,1991,A+,North Julia,MD,+1-623-010-4571x22890,,Danny,Salas,Arts administrator,,001-270-888-7352x112,jacksonbrian@dunn.org,scraped,35
Page LLC,https://garcia.com/,Finance,e-Learning,B2B2C,744,$1M-$10M,1992,B,Kendrafort,ID,389.735.6518x374,,Joanna,Underwood,Exhibition designer,,001-435-022-8545x91942,ronnie03@watts.biz,manual,30
"Thompson, Fields and Yoder",http://www.thomas-miller.com/,Software Development,e-Learning,B2C,192,$10M-$50M,2022,B,Hermanburgh,KY,074.793.1423,,Debbie,Sims,Financial planner,,273-533-9477,,scraped,25
"Ellis, Wallace and Frank",http://williams.com/,Healthcare,e-Learning,B2B,655,$10M-$50M,2013,A+,South Michaelstad,IL,+1-833-459-2002x05231,,Cheryl,Williams,Financial planner,,(298)939-6276,whiteryan@walters.com,scraped,45
"Hester, Smith and Jensen",http://www.cannon.com/,Healthcare,Custom Software,B2B2C,870,$1M-$10M,2024,A,East Amyshire,NJ,049-821-0920x233,,Sue,Moore,Cabin crew,,+1-170-143-2676x33840,,manual,28
Woods Group,http://keller.com/,Software Development,Accounting Tools,B2B,316,$10M-$50M,2013,NR,Campbellhaven,AZ,+1-077-467-4755x03433,,Douglas,Diaz,Legal executive,,332-753-0457x912,,manual,45
"Clark, Walker and Ford",https://andrade.com/,Education,EHR Systems,B2B,745,$50M+,2014,NR,North Kevinville,DC,(801)989-5126x81463,https://sutton.com/,James,Evans,Information officer,https://lee.info/,9503858236,jdavis@hotmail.com,manual,35
Burch Inc,http://www.williams-palmer.com/,Finance,Mobile Apps,B2C,162,$1M-$10M,2016,A,Lake Anna,DC,143-289-4146x259,https://morales.com/,Steven,Montoya,General practice doctor,http://rivera-porter.com/,544-797-4444x10009,adam86@gmail.com,manual,43
Peterson Group,https://www.martinez.info/,Real Estate,Mobile Apps,B2B2C,428,$10M-$50M,2002,C,East Michael,NY,528.264.6093,,Victoria,Hill,Physiological scientist,,(590)387-5922x6506,kelseyreid@gmail.com,manual,30
Benjamin-Fisher,https://fisher.com/,Education,Accounting Tools,B2B2C,237,$50M+,2009,NR,Shawmouth,NC,(429)338-8006,https://dyer.biz/,Elizabeth,Lopez,Cartographer,https://www.khan.info/,(120)853-5315,clarkwilliam@yahoo.com,manual,25
Graves-Hernandez,http://reyes.com/,Real Estate,Mobile Apps,B2B2C,906,$50M+,2010,A,Hernandezshire,NE,(988)206-3370x9722,,Dana,Wolfe,Medical illustrator,,(232)723-9439x3977,karen79@gmail.com,scraped,23
Coleman-Johnson,https://www.gamble.com/,Retail,Custom Software,B2B,804,$500K-$1M,1993,NR,New Markfurt,SD,812.145.5590,,Heather,Diaz,Public affairs consultant,,408.373.4898,kathryn30@baker-eaton.com,scraped,25
White-Rivera,http://strickland.com/,Education,Mobile Apps,B2B2C,426,$10M-$50M,2013,B,Lopezfurt,OH,(981)087-1013x423,,Richard,Nguyen,Naval architect,,001-911-219-0572x46217,willisfrances@hotmail.com,scraped,25
Thomas LLC,http://hurley.net/,Real Estate,Mobile Apps,B2C,423,$1M-$10M,2008,A+,Port Davidburgh,NE,911-816-3964,,Anita,Barrett,Estate manager/land agent,,992.289.0719x467,,scraped,30
"Higgins, Chapman and Castro",http://www.fischer-hill.biz/,Education,Custom Software,B2B2C,336,$10M-$50M,2001,A+,Erinburgh,OK,001-656-779-9330x127,https://www.perez-edwards.biz/,Rhonda,Wilson,Youth worker,http://lloyd.com/,001-778-587-8501x0625,danacummings@jones.com,manual,45
Perez-Simmons,https://shaw-romero.com/,Real Estate,Custom Software,B2B2C,117,$50M+,1999,NR,Michaelport,NV,001-344-404-6060,,Kevin,Brooks,Printmaker,,+1-699-046-7355x703,,scraped,10
Hill and Sons,https://www.monroe.net/,Real Estate,Accounting Tools,B2B2C,600,$1M-$10M,1997,B,Lake Justinville,DC,+1-868-526-9219x44019,,Daniel,Jenkins,Immigration officer,,647-958-9593x10731,,scraped,20
Salazar and Sons,https://jones.com/,Software Development,Custom Software,B2B,764,$500K-$1M,2011,C,Hollyburgh,KS,874.353.8022x279,https://www.nicholson-green.com/,Jon,Mora,Higher education careers adviser,https://www.johnson-smith.biz/,422-318-8638,,scraped,35
Taylor-Leonard,https://www.glass-watson.com/,Finance,Custom Software,B2B,881,$50M+,2011,A,East Alexandra,AR,(689)678-4173x67395,,Dana,Ryan,Secretary/administrator,,+1-484-582-7821x77811,jamesfisher@hotmail.com,manual,38
"Lewis, Long and York",https://www.acevedo.com/,Education,EHR Systems,B2B,62,$50M+,2017,NR,Lake Mary,ME,2622729091,,Raymond,Sullivan,Energy manager,,(203)675-7510,,scraped,25
"Maldonado, Mcconnell and Stout",http://www.sullivan.com/,Software Development,CRM,B2B,633,$1M-$10M,2014,B,Amandamouth,WA,+1-396-199-9669x692,,Debbie,Thomas,"Scientist, research (physical sciences)",,137.233.7574,leahweaver@gmail.com,manual,50
Barr-Johnson,http://berry.net/,Finance,Mobile Apps,B2C,486,$50M+,2009,NR,Lake Matthewchester,CA,876-843-8414x134,https://www.ochoa.com/,Whitney,King,Statistician,https://taylor.com/,001-345-543-5544x74181,,manual,20
Randall-Duncan,http://www.mahoney-rodriguez.com/,Software Development,Accounting Tools,B2C,110,$10M-$50M,2004,C,Cameronmouth,RI,+1-960-998-9398,https://www.walsh.com/,Michelle,Walker,Electrical engineer,https://yu.com/,(430)793-0270x8575,,scraped,35
Glover-Schmitt,http://miller-rodriguez.com/,Real Estate,CRM,B2B,324,$1M-$10M,2001,A,Lake Kimberlyview,GA,3647233981,,Nicholas,Kelly,Senior tax professional/tax inspector,,(564)431-6999,,scraped,38
Soto-Sherman,http://www.hood.com/,Healthcare,Custom Software,B2B,575,$500K-$1M,2020,C,South Michael,GA,+1-038-518-5511,http://chapman.info/,Stacy,Johnson,Music tutor,https://reynolds.com/,(886)224-6638,,manual,25
Anderson-Wong,https://cook.org/,Real Estate,EHR Systems,B2B,15,$50M+,2021,B,Danielfurt,PA,729-553-4225x180,https://wiley.com/,Melissa,White,Immigration officer,http://www.williams.com/,066-587-7909x507,,scraped,25
Chaney-Martinez,https://www.johnson-reid.com/,Software Development,Accounting Tools,B2B2C,922,$50M+,1997,A,West Jessica,WY,001-797-329-1817x62369,https://www.adams.info/,Taylor,Pratt,Interpreter,https://nelson.com/,5515735816,,manual,38
"Johnson, Boyle and Price",http://www.grimes.com/,Retail,CRM,B2B,285,$500K-$1M,2020,A,Mandyfort,MD,710-376-0293x798,,Blake,Chapman,Chief Marketing Officer,,8460723881,qhamilton@gmail.com,scraped,28
Waller and Sons,https://www.duncan.com/,Education,CRM,B2B2C,480,$10M-$50M,2013,C,South Daniel,MD,(872)420-6368x5739,,Christine,Deleon,Chief Financial Officer,,800-530-0923,april71@aguilar.com,scraped,25
"Johnson, White and Marshall",http://www.gilbert.com/,Real Estate,Accounting Tools,B2B2C,19,$500K-$1M,1997,NR,West Richard,IA,+1-007-209-2815x363,http://kim.com/,Dana,Allen,Event organiser,https://davis-lopez.net/,242.742.7212,gamblewesley@hotmail.com,scraped,25
Rodriguez-Roth,http://reed.com/,Education,e-Learning,B2C,374,$1M-$10M,1990,A,West Julie,ME,915-714-5422x3004,,Alison,Rice,Civil Service fast streamer,,+1-311-965-6397,,manual,33
Johnson LLC,https://www.mcgee.com/,Software Development,Accounting Tools,B2B2C,245,$50M+,1994,A+,East Jessica,AZ,001-151-594-2257x8658,https://www.chang.com/,Sandra,Jones,Sports therapist,https://rodriguez.com/,(210)791-3039,,manual,40
"Owen, Matthews and Mann",https://www.barnett.com/,Finance,Custom Software,B2B2C,453,$500K-$1M,2018,C,Foxmouth,RI,(018)542-7738x514,https://best.org/,Jennifer,Holmes,Games developer,http://moore.com/,6378291509,,scraped,15
"Stewart, Morgan and Harris",http://www.munoz-perkins.biz/,Healthcare,Accounting Tools,B2B2C,56,$50M+,2003,A+,Nicolebury,KY,6889525329,http://brown-mendoza.com/,Victoria,Contreras,"Administrator, charities/voluntary organisations",http://newman.com/,(657)166-9294,,scraped,30
Collins-Patrick,https://www.cobb.com/,Education,Custom Software,B2C,342,$10M-$50M,2006,NR,New Kimberly,KS,(620)428-3119,,Carl,Carter,Graphic designer,,874-987-2678,,manual,25
Thomas-Roberts,http://brewer-bell.info/,Real Estate,EHR Systems,B2B2C,419,$1M-$10M,1996,A+,Ricefurt,HI,520-990-9156,,Jennifer,Stephens,General practice doctor,,787-233-4725,,scraped,30
"Hood, Sanchez and Mayo",http://www.berry-dillon.biz/,Education,Accounting Tools,B2B2C,767,$500K-$1M,2000,A+,Smithburgh,TX,001-515-080-1898x584,,James,Nelson,Maintenance engineer,,(052)636-8116,teresaweiss@yahoo.com,scraped,25
Kelley-Hunter,http://wong-patterson.org/,Finance,Accounting Tools,B2B2C,560,$1M-$10M,2014,A,South Jessicatown,GA,548-776-3742x35059,,David,Wilkerson,Sports administrator,,001-155-646-7876x10021,christopherbrown@hotmail.com,manual,38
Fernandez and Sons,http://www.bailey.com/,Software Development,Custom Software,B2B2C,925,$10M-$50M,2023,A,South Ryanbury,VT,001-752-922-9552x1992,,Tiffany,Curry,Technical brewer,,+1-193-974-4370x168,steelenatalie@yahoo.com,manual,43
Anderson PLC,https://www.gomez.com/,Retail,CRM,B2C,172,$1M-$10M,2007,A,Gonzaleshaven,NV,6805311404,,Heather,Parker,Barrister,,815.989.3978,john27@cooper.com,manual,38
Williams Group,http://www.shea.biz/,Software Development,e-Learning,B2B,418,$10M-$50M,1995,NR,South Michelleburgh,ID,603-731-4142x112,http://www.rosales.org/,Alexis,Solis,Astronomer,https://hurley.org/,397-301-3169x55926,hector95@hotmail.com,manual,55
Bishop-Carr,http://carter.biz/,Real Estate,Custom Software,B2C,713,$1M-$10M,2003,A,Arellanoport,MI,001-206-147-5959,,Amber,Howe,Dentist,,(784)266-6394x629,,scraped,28
Harrison-Gonzalez,https://www.gomez.org/,Education,e-Learning,B2B,849,$10M-$50M,2008,NR,South Heather,NH,543.390.8476x7383,http://www.holder.org/,Danielle,Green,Teaching laboratory technician,http://www.miller.com/,(526)296-1886x2371,cameronlisa@hotmail.com,scraped,40
Donaldson Ltd,https://frey.com/,Real Estate,CRM,B2C,926,$10M-$50M,1990,NR,West Andrew,UT,321.285.8848x0094,,Sherri,Lewis,Legal executive,,5328274299,,manual,25
"Harvey, Hanson and Martinez",http://jones-chen.com/,Software Development,Custom Software,B2B,280,$1M-$10M,2014,B,Lake Christopherland,CA,355-171-7610x2700,https://www.crawford.info/,Jonathan,Rogers,"Sound technician, broadcasting/film/video",http://www.jefferson.biz/,907.165.8838x73564,vhuffman@martinez-herring.biz,manual,55
"Jones, Robinson and Hall",https://smith.com/,Software Development,Mobile Apps,B2C,940,$500K-$1M,2021,A,East Brian,NY,5775154686,,Yolanda,Johnson,Administrator,,001-706-855-2510,,manual,28
Glenn-Bryant,https://www.jones.com/,Retail,Mobile Apps,B2B,838,$50M+,2018,A,Marthaberg,WY,377-199-8005,http://www.valencia-thompson.com/,Bradley,Wiley,"Engineer, communications",https://www.murray.biz/,(010)265-0417x3184,kristiehernandez@mahoney.info,scraped,38
"Douglas, Chen and Woodard",https://www.howard.com/,Education,EHR Systems,B2B2C,193,$10M-$50M,2002,NR,East Justinview,NV,(903)296-9931,https://www.barrett.com/,April,Quinn,Nutritional therapist,http://www.rhodes-wise.com/,023.781.8154,,manual,30
Jackson-Chambers,http://estrada.com/,Finance,Custom Software,B2C,673,$500K-$1M,1996,C,Carlchester,VT,156.460.9334,http://gonzalez.com/,Nicholas,Gates,Risk manager,http://bradford.org/,001-367-196-0659x587,franklingrace@yahoo.com,scraped,20
Sims-Ramsey,https://www.harrison.com/,Retail,e-Learning,B2B2C,141,$500K-$1M,2014,C,Austinchester,MS,(600)373-9856,,Evan,Brown,"Horticulturist, commercial",,138-573-0758x9852,,manual,15
Ryan and Sons,http://pena.biz/,Software Development,CRM,B2B2C,837,$10M-$50M,2024,C,Fosterland,RI,+1-751-515-8945,https://www.parker.com/,Kelly,Singh,"Surveyor, insurance",https://calderon.biz/,0812146919,molly45@gmail.com,manual,40
"Bennett, Miller and Banks",https://www.baker-williams.com/,Software Development,Custom Software,B2C,85,$500K-$1M,2005,C,North Patricia,NY,001-306-227-3154,http://www.wheeler.org/,Joseph,Thompson,"Merchandiser, retail",http://www.valdez.com/,+1-761-913-2880,johnwest@yahoo.com,scraped,35
Boone Inc,http://www.ball.com/,Finance,CRM,B2C,352,$1M-$10M,2000,NR,Lisatown,FL,(297)332-7210x8762,https://www.martinez-garcia.org/,Tyler,Reed,Risk manager,https://crosby.com/,001-985-748-8551x56658,,scraped,25
Shaw-Hill,http://www.russell-woods.info/,Healthcare,Accounting Tools,B2B2C,319,$1M-$10M,2012,A+,Lake Denise,VT,001-931-583-5439x5959,,Jose,Anderson,"Programmer, applications",,+1-442-345-4438x3133,aanderson@yahoo.com,manual,40
"Gutierrez, Brown and Davidson",http://gibbs-raymond.biz/,Retail,Mobile Apps,B2B,801,$50M+,2021,A,New Timothy,RI,455.607.6287,,Austin,Gomez,Geophysical data processor,,(687)340-1611,,manual,28
"Davis, Obrien and Young",https://robbins-scott.com/,Education,Mobile Apps,B2C,927,$50M+,1998,A,South Victor,NM,589.021.6764,http://www.anderson.com/,Christian,Dyer,"Engineer, building services",https://smith-bailey.org/,+1-754-456-6454x152,,manual,28
"Perry, Francis and Walker",https://www.silva.biz/,Finance,e-Learning,B2B,61,$10M-$50M,1994,B,Rollinsstad,OR,+1-771-813-8661x2175,https://www.daniel-mclean.com/,Anna,Hale,Customer service manager,https://santana.info/,(563)965-2948,kelly66@yahoo.com,manual,50
Gray LLC,http://www.mendoza.com/,Retail,Mobile Apps,B2B2C,717,$50M+,2007,A+,Dawsonhaven,IA,001-115-960-7298x8479,,Lauren,Castaneda,Probation officer,,836-704-2844,,manual,25
Kennedy-Case,http://stuart.com/,Software Development,e-Learning,B2C,614,$500K-$1M,1997,C,Beckport,OR,569-049-7191x80109,,Donald,Rios,Health physicist,,155-709-1601x0601,hallleah@andrews-bailey.com,manual,30
Harris Group,http://brown.com/,Education,CRM,B2C,729,$500K-$1M,1990,NR,Jonesburgh,IA,080.236.0560x876,,Benjamin,Nelson,"Doctor, hospital",,001-803-109-9023x9961,jennifer99@yahoo.com,manual,20
Willis Inc,http://www.fritz.com/,Education,CRM,B2C,631,$10M-$50M,1995,C,South Tylerview,PA,740-130-6280x28148,https://www.shannon.biz/,Samantha,Hawkins,"Designer, textile",https://roberson-tucker.org/,2459729482,psingh@cantrell-martinez.info,manual,35
"Kim, Lucas and Gonzales",http://www.jensen.com/,Healthcare,e-Learning,B2B,939,$1M-$10M,2008,A,North Davidchester,SD,001-017-684-8334,,Kendra,Robinson,Forensic psychologist,,0318416818,kimberly35@king.biz,scraped,43
"Perry, Braun and Marshall",https://www.mclaughlin.org/,Retail,EHR Systems,B2B2C,300,$500K-$1M,2014,C,Lake Jennifer,FL,495.451.4171x6987,,Cynthia,Wright,"Surveyor, rural practice",,(253)520-0991,tgill@yahoo.com,manual,20
Ware-Perkins,https://morrison.com/,Finance,e-Learning,B2B2C,346,$50M+,1998,A+,Ramirezville,UT,888.430.9574,http://mcclain.info/,Teresa,Jacobson,Counsellor,http://hawkins-weaver.com/,+1-613-892-1333x20361,wardbarbara@gmail.com,scraped,30
English-Gray,http://smith.com/,Education,CRM,B2C,929,$500K-$1M,2021,NR,West Lisa,DC,001-381-495-6518x63836,http://www.branch-jimenez.info/,Carolyn,Beck,Environmental manager,http://www.torres.com/,001-652-956-6533x29957,brittany24@manning-clark.com,manual,20
Burke Inc,https://www.roberts.net/,Healthcare,Accounting Tools,B2B2C,253,$1M-$10M,1992,B,West Joshua,VT,(801)828-3683,,Daniel,Miller,"Conservator, furniture",,+1-660-598-9922x689,pburnett@fernandez.com,scraped,25
Simon-Moore,http://www.morris.org/,Education,e-Learning,B2C,978,$10M-$50M,1993,NR,Scottberg,CO,+1-506-545-2940x22103,,Theresa,Buck,"Research officer, government",,+1-823-431-6165x72444,,scraped,20
"Clark, Frazier and Thomas",https://www.smith.com/,Healthcare,Accounting Tools,B2B,755,$10M-$50M,2008,NR,Chavezchester,MN,418-714-3630x30939,https://www.potter-solis.com/,Megan,Clark,"Education officer, environmental",http://bridges.com/,+1-836-577-5165x612,,manual,40
"Acevedo, Lang and Cox",http://www.torres-salazar.com/,Real Estate,EHR Systems,B2B,378,$1M-$10M,1990,A+,North Dianeberg,DC,767-403-1885x199,https://www.adkins-sellers.com/,Jennifer,Waters,Retail merchandiser,http://www.beck-keller.com/,(972)235-8956,,manual,50
"Hall, Guerra and Carney",https://patterson.com/,Education,CRM,B2B,363,$500K-$1M,2013,NR,West Debbie,KY,060.723.0035x5178,,Jason,Benson,Software engineer,,+1-848-241-0077x24694,matthewstamara@hotmail.com,manual,30
Ortiz-Smith,http://www.foster.org/,Education,Accounting Tools,B2B2C,933,$1M-$10M,2013,NR,Autumnton,AZ,001-540-888-0678x462,https://www.hodge-pope.org/,Savannah,Gordon,Multimedia specialist,https://ward.com/,001-989-247-7534x3766,,manual,30
Foster LLC,http://marks.com/,Finance,CRM,B2B,306,$50M+,2020,C,Garciaview,OK,+1-893-423-9523x16851,http://www.reeves.biz/,Johnny,Young,Fine artist,https://moss.com/,5151561670,yzamora@mckenzie-cherry.com,manual,30
Nielsen LLC,http://simpson.com/,Software Development,e-Learning,B2B,117,$50M+,2022,A,Judyside,TX,561-337-0756x8264,http://benton.biz/,Timothy,Murray,Geochemist,https://www.brown.net/,5339900682,asantiago@silva.net,manual,48
Riddle-Smith,http://www.charles.com/,Software Development,CRM,B2B2C,331,$10M-$50M,2005,B,North April,OK,001-301-126-2138,https://www.rosario-haynes.com/,Christopher,Yates,Logistics and distribution manager,http://thompson.net/,108.597.2205,douglaswhitney@moreno.com,scraped,40
Hill LLC,https://www.coleman-torres.net/,Retail,CRM,B2B,833,$50M+,2020,A,New Arthur,WV,600-391-2892x80081,http://williams.org/,Amanda,Hayden,Materials engineer,http://www.johnson.com/,135-467-8832x9299,,scraped,28
Allen and Sons,https://wilson.org/,Finance,e-Learning,B2B,945,$10M-$50M,2012,C,Codyburgh,OH,(481)110-0972,,Michael,Jimenez,Aeronautical engineer,,581-693-5616x49667,bradley64@gmail.com,scraped,35
Lopez-Cruz,http://wagner-chambers.biz/,Retail,CRM,B2C,265,$1M-$10M,2016,A,Ronaldview,UT,+1-194-109-8584x444,http://reynolds.com/,Scott,Compton,Dance movement psychotherapist,https://mcintosh-ryan.com/,850-234-8293x5181,downsjeffrey@mitchell-gonzalez.info,manual,43
Roberts Group,https://watson.biz/,Retail,Mobile Apps,B2B2C,105,$1M-$10M,2009,A,South James,FL,+1-064-359-6230x829,http://www.walters.com/,Robert,Knight,Child psychotherapist,http://www.parker-macdonald.biz/,007.383.0205x4940,qalvarez@fox-wilson.org,scraped,38
Kline Group,http://cole-rogers.net/,Retail,CRM,B2C,529,$10M-$50M,2022,A+,North Williammouth,NE,(562)422-4395x85843,http://www.maldonado-patel.net/,Samantha,Chapman,Geophysicist/field seismologist,https://ewing.com/,001-387-731-8639,josephvillarreal@gmail.com,manual,40
Miranda and Sons,http://www.pena.com/,Finance,Custom Software,B2B,76,$500K-$1M,2012,C,Port Alicia,TN,+1-743-635-5040x66106,,Caroline,Sanchez,"Teacher, primary school",,794.286.7181x96839,mcintyresamuel@velez.com,scraped,30
"Washington, Tucker and Acosta",http://www.fletcher.com/,Software Development,Accounting Tools,B2B,702,$50M+,2012,NR,West Brendaview,WI,1167716507,,Darryl,Ramsey,Biomedical engineer,,+1-965-346-1444x98791,danielmaldonado@hotmail.com,manual,40
Johnson LLC,https://www.lester.com/,Retail,Accounting Tools,B2B2C,985,$1M-$10M,2013,A,North Christopherland,CO,559.385.5027x940,,Lori,Ball,Technical author,,(932)266-2701x9844,,scraped,28
Gray-Osborne,https://duarte.biz/,Real Estate,Mobile Apps,B2B,968,$10M-$50M,1997,A+,Wilsonhaven,AR,(002)552-5763,http://www.bernard.com/,Michelle,Long,Homeopath,http://www.singh.com/,493.453.2999x90091,,scraped,45
Wood and Sons,https://brown.com/,Education,Custom Software,B2B2C,179,$1M-$10M,2000,A+,North Katherineville,ND,333-955-1266,,William,Taylor,"Research officer, government",,393-818-5928,hernandezbradley@gmail.com,scraped,35
"Swanson, Johnson and Barron",https://www.bender-hall.com/,Education,Accounting Tools,B2B2C,568,$10M-$50M,1998,A+,Walterchester,ME,001-030-014-1236,,Stacey,Walker,Mechanical engineer,,165-161-3104x37371,,scraped,30
Gomez Group,https://www.jenkins.net/,Healthcare,Accounting Tools,B2C,466,$500K-$1M,2020,A+,Amyview,PA,415.049.9156,,Tamara,Jones,"Conservator, museum/gallery",,001-835-057-7696x3673,,scraped,15
Miller PLC,https://www.wilson.biz/,Finance,Mobile Apps,B2B2C,891,$10M-$50M,2002,A,Lake Katrina,AR,222.706.7550,,Richard,Norris,Multimedia programmer,,376-181-7203x9460,brianna77@golden.com,scraped,33
